user_id,role,goal
555,Cybersecurity Analyst,Boost Cloud Skills
573,DevOps Engineer,Optimize Databases
449,Software Engineer,Learn ML
450,Business Intelligence Analyst,Deepen AI knowledge
453,Data Scientist,Optimize Databases
455,Cybersecurity Analyst,Enhance Data Visualization
496,Software Engineer,Strengthen Cybersecurity
507,Database Administrator,Deepen AI knowledge
509,Cloud Engineer,Deepen AI knowledge
511,Cybersecurity Analyst,Optimize Databases
512,Business Intelligence Analyst,Deepen AI knowledge
517,Data Scientist,Strengthen Cybersecurity
534,Data Scientist,Deepen AI knowledge
552,Data Scientist,Explore BI Tools
556,Data Scientist,Optimize Databases
563,DevOps Engineer,Strengthen Cybersecurity
564,Software Engineer,Optimize Databases
574,Cybersecurity Analyst,Advance in DevOps
457,Software Engineer,Boost Cloud Skills
459,Data Analyst,Improve Python
462,Cybersecurity Analyst,Boost Cloud Skills
466,Cloud Engineer,Improve Python
481,Cloud Engineer,Improve Python
491,Data Scientist,Optimize Databases
494,Business Intelligence Analyst,Enhance Data Visualization
508,Data Scientist,Boost Cloud Skills
518,AI Specialist,Enhance Data Visualization
523,Software Engineer,Strengthen Cybersecurity
524,DevOps Engineer,Explore BI Tools
532,Machine Learning Engineer,Optimize Databases
535,Software Engineer,Improve Python
537,Data Analyst,Boost Cloud Skills
541,AI Specialist,Optimize Databases
544,DevOps Engineer,Boost Cloud Skills
557,Cybersecurity Analyst,Master SQL
560,Cybersecurity Analyst,Explore BI Tools
562,Database Administrator,Boost Cloud Skills
567,Database Administrator,Strengthen Cybersecurity
569,Machine Learning Engineer,Enhance Data Visualization
454,Data Analyst,Deepen AI knowledge
464,Cybersecurity Analyst,Learn ML
465,Data Analyst,Enhance Data Visualization
475,Machine Learning Engineer,Strengthen Cybersecurity
478,Database Administrator,Boost Cloud Skills
482,Data Analyst,Boost Cloud Skills
497,Data Scientist,Learn ML
499,Machine Learning Engineer,Optimize Databases
501,Cloud Engineer,Improve Python
516,Data Scientist,Deepen AI knowledge
521,AI Specialist,Strengthen Cybersecurity
525,Machine Learning Engineer,Strengthen Cybersecurity
526,Machine Learning Engineer,Improve Python
536,AI Specialist,Boost Cloud Skills
540,Business Intelligence Analyst,Master SQL
551,Cloud Engineer,Deepen AI knowledge
553,Business Intelligence Analyst,Explore BI Tools
561,Cloud Engineer,Explore BI Tools
565,Database Administrator,Improve Python
572,Cloud Engineer,Enhance Data Visualization
456,Data Scientist,Deepen AI knowledge
463,Cybersecurity Analyst,Deepen AI knowledge
467,Software Engineer,Improve Python
471,Data Scientist,Boost Cloud Skills
472,Cloud Engineer,Learn ML
473,Data Analyst,Explore BI Tools
489,Machine Learning Engineer,Advance in DevOps
502,Database Administrator,Optimize Databases
503,Cloud Engineer,Improve Python
519,Data Scientist,Master SQL
522,Business Intelligence Analyst,Deepen AI knowledge
533,Data Analyst,Enhance Data Visualization
538,Data Analyst,Strengthen Cybersecurity
539,Machine Learning Engineer,Optimize Databases
568,Cybersecurity Analyst,Optimize Databases
570,Database Administrator,Deepen AI knowledge
576,Data Scientist,Boost Cloud Skills
581,Data Scientist,Optimize Databases
579,Data Analyst,Advance in DevOps
596,Data Scientist,Deepen AI knowledge
604,Data Scientist,Explore BI Tools
627,Software Engineer,Master SQL
628,Cloud Engineer,Optimize Databases
633,Software Engineer,Optimize Databases
592,Cybersecurity Analyst,Strengthen Cybersecurity
605,Software Engineer,Master SQL
609,Data Analyst,Optimize Databases
620,Machine Learning Engineer,Master SQL
631,Database Administrator,Enhance Data Visualization
637,Business Intelligence Analyst,Optimize Databases
638,AI Specialist,Deepen AI knowledge
577,AI Specialist,Master SQL
585,Cybersecurity Analyst,Deepen AI knowledge
589,Business Intelligence Analyst,Explore BI Tools
599,AI Specialist,Strengthen Cybersecurity
625,Data Analyst,Optimize Databases
626,Database Administrator,Improve Python
636,Business Intelligence Analyst,Master SQL
587,Database Administrator,Enhance Data Visualization
590,AI Specialist,Boost Cloud Skills
610,Cloud Engineer,Deepen AI knowledge
619,Machine Learning Engineer,Enhance Data Visualization
630,Data Scientist,Advance in DevOps
632,Data Analyst,Boost Cloud Skills
635,Data Analyst,Advance in DevOps
593,Machine Learning Engineer,Optimize Databases
597,Data Scientist,Explore BI Tools
603,Cybersecurity Analyst,Explore BI Tools
640,Machine Learning Engineer,Optimize Databases
578,Business Intelligence Analyst,Master SQL
582,Cloud Engineer,Advance in DevOps
580,Cybersecurity Analyst,Master SQL
583,Data Analyst,Enhance Data Visualization
595,Cloud Engineer,Advance in DevOps
600,Business Intelligence Analyst,Master SQL
601,Cloud Engineer,Strengthen Cybersecurity
612,Software Engineer,Explore BI Tools
618,Software Engineer,Advance in DevOps
622,Software Engineer,Master SQL
623,Data Analyst,Enhance Data Visualization
624,Machine Learning Engineer,Strengthen Cybersecurity
629,Business Intelligence Analyst,Strengthen Cybersecurity
634,Database Administrator,Enhance Data Visualization
639,Cybersecurity Analyst,Enhance Data Visualization
584,AI Specialist,Boost Cloud Skills
591,Cybersecurity Analyst,Advance in DevOps
594,Business Intelligence Analyst,Improve Python
598,Data Analyst,Enhance Data Visualization
602,Data Analyst,Optimize Databases
606,Machine Learning Engineer,Enhance Data Visualization
607,Cloud Engineer,Deepen AI knowledge
608,Data Analyst,Enhance Data Visualization
613,Cybersecurity Analyst,Learn ML
614,Data Scientist,Improve Python
615,Business Intelligence Analyst,Deepen AI knowledge
586,Business Intelligence Analyst,Enhance Data Visualization
588,Business Intelligence Analyst,Improve Python
611,Database Administrator,Enhance Data Visualization
616,Cloud Engineer,Learn ML
617,AI Specialist,Advance in DevOps
621,AI Specialist,Enhance Data Visualization
642,DevOps Engineer,Strengthen Cybersecurity
664,Business Intelligence Analyst,Enhance Data Visualization
648,Cybersecurity Analyst,Deepen AI knowledge
652,Database Administrator,Learn ML
656,Software Engineer,Advance in DevOps
658,Cloud Engineer,Explore BI Tools
666,Cloud Engineer,Deepen AI knowledge
676,Machine Learning Engineer,Optimize Databases
691,Business Intelligence Analyst,Master SQL
701,Machine Learning Engineer,Master SQL
702,Database Administrator,Boost Cloud Skills
711,Data Scientist,Master SQL
713,Cybersecurity Analyst,Explore BI Tools
729,Software Engineer,Master SQL
731,DevOps Engineer,Learn ML
740,Database Administrator,Strengthen Cybersecurity
742,AI Specialist,Learn ML
744,Cloud Engineer,Deepen AI knowledge
757,Cloud Engineer,Learn ML
760,Cybersecurity Analyst,Optimize Databases
769,Database Administrator,Master SQL
782,Business Intelligence Analyst,Optimize Databases
783,Cloud Engineer,Boost Cloud Skills
794,Business Intelligence Analyst,Boost Cloud Skills
806,Database Administrator,Optimize Databases
808,Software Engineer,Explore BI Tools
810,Data Analyst,Master SQL
813,Cybersecurity Analyst,Learn ML
823,Business Intelligence Analyst,Deepen AI knowledge
894,Machine Learning Engineer,Advance in DevOps
677,Software Engineer,Explore BI Tools
678,AI Specialist,Master SQL
682,Data Analyst,Optimize Databases
686,Database Administrator,Learn ML
700,Cybersecurity Analyst,Strengthen Cybersecurity
715,Data Analyst,Boost Cloud Skills
721,Cybersecurity Analyst,Deepen AI knowledge
730,Machine Learning Engineer,Boost Cloud Skills
743,DevOps Engineer,Enhance Data Visualization
750,Data Analyst,Optimize Databases
756,Cloud Engineer,Explore BI Tools
762,Database Administrator,Master SQL
774,DevOps Engineer,Optimize Databases
777,Data Scientist,Strengthen Cybersecurity
791,AI Specialist,Enhance Data Visualization
792,Database Administrator,Explore BI Tools
796,Cybersecurity Analyst,Advance in DevOps
797,DevOps Engineer,Explore BI Tools
820,Software Engineer,Deepen AI knowledge
835,Data Analyst,Improve Python
855,DevOps Engineer,Deepen AI knowledge
859,Machine Learning Engineer,Optimize Databases
860,Data Scientist,Enhance Data Visualization
863,Cybersecurity Analyst,Master SQL
864,Data Scientist,Boost Cloud Skills
869,AI Specialist,Optimize Databases
873,Machine Learning Engineer,Learn ML
878,Cloud Engineer,Advance in DevOps
882,Database Administrator,Learn ML
885,Business Intelligence Analyst,Strengthen Cybersecurity
896,DevOps Engineer,Deepen AI knowledge
645,Data Scientist,Improve Python
641,Business Intelligence Analyst,Explore BI Tools
650,Cloud Engineer,Boost Cloud Skills
651,Software Engineer,Boost Cloud Skills
655,Machine Learning Engineer,Strengthen Cybersecurity
659,DevOps Engineer,Boost Cloud Skills
667,DevOps Engineer,Improve Python
672,Data Analyst,Strengthen Cybersecurity
688,AI Specialist,Deepen AI knowledge
690,Business Intelligence Analyst,Explore BI Tools
694,Business Intelligence Analyst,Learn ML
695,Software Engineer,Optimize Databases
705,AI Specialist,Boost Cloud Skills
728,Data Scientist,Strengthen Cybersecurity
735,Business Intelligence Analyst,Master SQL
738,Business Intelligence Analyst,Advance in DevOps
739,Database Administrator,Explore BI Tools
741,Data Analyst,Strengthen Cybersecurity
749,DevOps Engineer,Master SQL
753,AI Specialist,Enhance Data Visualization
754,Data Analyst,Enhance Data Visualization
770,AI Specialist,Master SQL
789,Database Administrator,Advance in DevOps
812,Cybersecurity Analyst,Learn ML
822,AI Specialist,Optimize Databases
831,Business Intelligence Analyst,Boost Cloud Skills
832,Database Administrator,Advance in DevOps
838,Cloud Engineer,Enhance Data Visualization
842,DevOps Engineer,Learn ML
846,Software Engineer,Master SQL
852,Database Administrator,Master SQL
876,Data Analyst,Master SQL
886,Cybersecurity Analyst,Explore BI Tools
643,Business Intelligence Analyst,Learn ML
646,Software Engineer,Improve Python
647,Database Administrator,Strengthen Cybersecurity
669,AI Specialist,Learn ML
673,Data Scientist,Learn ML
680,Cybersecurity Analyst,Advance in DevOps
681,AI Specialist,Strengthen Cybersecurity
698,Business Intelligence Analyst,Advance in DevOps
708,AI Specialist,Improve Python
732,Machine Learning Engineer,Improve Python
737,Cloud Engineer,Explore BI Tools
751,Software Engineer,Master SQL
758,Data Analyst,Optimize Databases
798,Cloud Engineer,Master SQL
805,Data Scientist,Deepen AI knowledge
815,Data Scientist,Improve Python
818,Machine Learning Engineer,Improve Python
825,DevOps Engineer,Explore BI Tools
829,AI Specialist,Enhance Data Visualization
830,AI Specialist,Explore BI Tools
833,Cybersecurity Analyst,Optimize Databases
836,Machine Learning Engineer,Enhance Data Visualization
839,DevOps Engineer,Master SQL
849,Data Analyst,Boost Cloud Skills
862,Data Scientist,Improve Python
872,Cybersecurity Analyst,Strengthen Cybersecurity
883,AI Specialist,Improve Python
887,DevOps Engineer,Boost Cloud Skills
654,Data Scientist,Boost Cloud Skills
657,Cybersecurity Analyst,Master SQL
665,AI Specialist,Strengthen Cybersecurity
675,Database Administrator,Improve Python
683,AI Specialist,Strengthen Cybersecurity
685,Machine Learning Engineer,Advance in DevOps
696,Cybersecurity Analyst,Boost Cloud Skills
717,AI Specialist,Boost Cloud Skills
722,Business Intelligence Analyst,Learn ML
725,Data Analyst,Explore BI Tools
726,Software Engineer,Improve Python
727,Machine Learning Engineer,Strengthen Cybersecurity
736,Software Engineer,Master SQL
745,Database Administrator,Deepen AI knowledge
748,Machine Learning Engineer,Optimize Databases
752,Database Administrator,Deepen AI knowledge
764,Data Analyst,Explore BI Tools
765,Data Scientist,Deepen AI knowledge
775,Database Administrator,Optimize Databases
787,Database Administrator,Boost Cloud Skills
788,DevOps Engineer,Improve Python
795,Data Analyst,Deepen AI knowledge
804,Software Engineer,Strengthen Cybersecurity
809,Database Administrator,Improve Python
811,Software Engineer,Optimize Databases
814,AI Specialist,Master SQL
817,Software Engineer,Optimize Databases
819,Database Administrator,Master SQL
834,Business Intelligence Analyst,Improve Python
843,Software Engineer,Explore BI Tools
866,Software Engineer,Boost Cloud Skills
874,Data Scientist,Advance in DevOps
879,Database Administrator,Learn ML
888,Data Analyst,Advance in DevOps
668,Machine Learning Engineer,Improve Python
670,Machine Learning Engineer,Enhance Data Visualization
687,AI Specialist,Improve Python
699,AI Specialist,Enhance Data Visualization
710,Software Engineer,Master SQL
712,Software Engineer,Strengthen Cybersecurity
716,Cloud Engineer,Master SQL
719,Machine Learning Engineer,Strengthen Cybersecurity
733,Machine Learning Engineer,Boost Cloud Skills
766,Machine Learning Engineer,Strengthen Cybersecurity
768,AI Specialist,Advance in DevOps
771,Data Analyst,Boost Cloud Skills
773,DevOps Engineer,Deepen AI knowledge
776,Database Administrator,Strengthen Cybersecurity
779,Software Engineer,Improve Python
781,Data Analyst,Explore BI Tools
785,Database Administrator,Deepen AI knowledge
786,Data Scientist,Learn ML
790,DevOps Engineer,Enhance Data Visualization
800,AI Specialist,Master SQL
801,Data Analyst,Improve Python
821,Data Scientist,Improve Python
837,DevOps Engineer,Enhance Data Visualization
840,Database Administrator,Optimize Databases
848,DevOps Engineer,Boost Cloud Skills
853,Cloud Engineer,Improve Python
854,Data Analyst,Learn ML
858,Software Engineer,Explore BI Tools
875,DevOps Engineer,Boost Cloud Skills
880,Cybersecurity Analyst,Improve Python
881,Software Engineer,Deepen AI knowledge
884,DevOps Engineer,Improve Python
892,Cybersecurity Analyst,Advance in DevOps
895,Data Analyst,Deepen AI knowledge
644,Database Administrator,Master SQL
671,Database Administrator,Deepen AI knowledge
679,Cloud Engineer,Boost Cloud Skills
692,Cybersecurity Analyst,Enhance Data Visualization
693,Cybersecurity Analyst,Boost Cloud Skills
697,Business Intelligence Analyst,Explore BI Tools
703,Database Administrator,Boost Cloud Skills
704,DevOps Engineer,Master SQL
714,Business Intelligence Analyst,Explore BI Tools
723,DevOps Engineer,Explore BI Tools
724,Database Administrator,Enhance Data Visualization
747,Database Administrator,Master SQL
761,Cybersecurity Analyst,Explore BI Tools
763,Database Administrator,Advance in DevOps
767,Machine Learning Engineer,Boost Cloud Skills
784,Machine Learning Engineer,Optimize Databases
802,Cloud Engineer,Deepen AI knowledge
807,Database Administrator,Optimize Databases
816,Machine Learning Engineer,Learn ML
826,DevOps Engineer,Enhance Data Visualization
841,Data Scientist,Enhance Data Visualization
847,Machine Learning Engineer,Learn ML
856,DevOps Engineer,Strengthen Cybersecurity
857,DevOps Engineer,Explore BI Tools
861,Data Scientist,Strengthen Cybersecurity
865,DevOps Engineer,Enhance Data Visualization
870,Database Administrator,Advance in DevOps
871,Machine Learning Engineer,Boost Cloud Skills
877,Cloud Engineer,Explore BI Tools
889,Machine Learning Engineer,Enhance Data Visualization
891,Cloud Engineer,Explore BI Tools
649,Business Intelligence Analyst,Deepen AI knowledge
653,DevOps Engineer,Learn ML
660,Machine Learning Engineer,Deepen AI knowledge
661,Data Analyst,Master SQL
662,Data Scientist,Advance in DevOps
663,Machine Learning Engineer,Learn ML
674,Data Analyst,Advance in DevOps
684,Business Intelligence Analyst,Improve Python
689,Database Administrator,Deepen AI knowledge
706,DevOps Engineer,Optimize Databases
707,DevOps Engineer,Enhance Data Visualization
709,Machine Learning Engineer,Advance in DevOps
718,Software Engineer,Deepen AI knowledge
720,Software Engineer,Boost Cloud Skills
734,Business Intelligence Analyst,Improve Python
746,Cybersecurity Analyst,Boost Cloud Skills
755,Database Administrator,Explore BI Tools
759,Software Engineer,Optimize Databases
772,Software Engineer,Optimize Databases
778,Data Analyst,Enhance Data Visualization
780,Business Intelligence Analyst,Improve Python
793,Data Analyst,Optimize Databases
799,Cybersecurity Analyst,Explore BI Tools
803,Business Intelligence Analyst,Master SQL
824,Cybersecurity Analyst,Advance in DevOps
827,Cybersecurity Analyst,Advance in DevOps
828,Database Administrator,Deepen AI knowledge
844,AI Specialist,Enhance Data Visualization
845,DevOps Engineer,Learn ML
850,DevOps Engineer,Learn ML
851,DevOps Engineer,Optimize Databases
867,DevOps Engineer,Improve Python
868,DevOps Engineer,Strengthen Cybersecurity
890,Software Engineer,Advance in DevOps
893,Cybersecurity Analyst,Improve Python
904,Cybersecurity Analyst,Improve Python
906,Data Analyst,Improve Python
912,DevOps Engineer,Optimize Databases
922,DevOps Engineer,Strengthen Cybersecurity
925,Data Analyst,Deepen AI knowledge
933,Data Analyst,Improve Python
935,Database Administrator,Strengthen Cybersecurity
982,Data Scientist,Advance in DevOps
990,Database Administrator,Learn ML
991,Cybersecurity Analyst,Learn ML
914,Machine Learning Engineer,Enhance Data Visualization
934,Database Administrator,Enhance Data Visualization
947,Data Analyst,Deepen AI knowledge
951,AI Specialist,Master SQL
952,Data Analyst,Learn ML
957,Cloud Engineer,Master SQL
959,Business Intelligence Analyst,Boost Cloud Skills
969,Cybersecurity Analyst,Explore BI Tools
970,Database Administrator,Advance in DevOps
973,Cybersecurity Analyst,Enhance Data Visualization
993,Business Intelligence Analyst,Explore BI Tools
1000,AI Specialist,Boost Cloud Skills
918,Cybersecurity Analyst,Boost Cloud Skills
928,Data Scientist,Learn ML
939,Data Analyst,Explore BI Tools
945,Data Scientist,Explore BI Tools
949,Data Scientist,Advance in DevOps
953,Data Analyst,Learn ML
968,Cybersecurity Analyst,Optimize Databases
974,Cloud Engineer,Advance in DevOps
980,Business Intelligence Analyst,Improve Python
981,AI Specialist,Explore BI Tools
984,AI Specialist,Strengthen Cybersecurity
985,Data Scientist,Advance in DevOps
992,Data Scientist,Enhance Data Visualization
998,Cybersecurity Analyst,Enhance Data Visualization
999,AI Specialist,Deepen AI knowledge
903,Cybersecurity Analyst,Master SQL
907,Business Intelligence Analyst,Master SQL
908,Software Engineer,Improve Python
911,AI Specialist,Learn ML
913,Data Analyst,Improve Python
929,Data Analyst,Explore BI Tools
937,Cybersecurity Analyst,Master SQL
940,Cloud Engineer,Advance in DevOps
946,Software Engineer,Deepen AI knowledge
962,DevOps Engineer,Master SQL
966,Data Analyst,Advance in DevOps
977,Software Engineer,Improve Python
988,Data Scientist,Master SQL
995,DevOps Engineer,Improve Python
996,Software Engineer,Deepen AI knowledge
897,Software Engineer,Advance in DevOps
902,Cybersecurity Analyst,Optimize Databases
905,Software Engineer,Enhance Data Visualization
919,Data Scientist,Learn ML
926,Cybersecurity Analyst,Optimize Databases
938,Business Intelligence Analyst,Advance in DevOps
950,Machine Learning Engineer,Master SQL
971,Cybersecurity Analyst,Learn ML
986,DevOps Engineer,Enhance Data Visualization
989,Machine Learning Engineer,Optimize Databases
898,Machine Learning Engineer,Strengthen Cybersecurity
899,Machine Learning Engineer,Optimize Databases
901,Cybersecurity Analyst,Advance in DevOps
909,Data Analyst,Enhance Data Visualization
916,Cloud Engineer,Enhance Data Visualization
917,Database Administrator,Deepen AI knowledge
921,Cloud Engineer,Optimize Databases
924,AI Specialist,Explore BI Tools
944,Cybersecurity Analyst,Optimize Databases
960,Software Engineer,Boost Cloud Skills
961,Cybersecurity Analyst,Advance in DevOps
963,Cybersecurity Analyst,Optimize Databases
976,Software Engineer,Strengthen Cybersecurity
920,Cloud Engineer,Learn ML
900,Machine Learning Engineer,Strengthen Cybersecurity
923,Cybersecurity Analyst,Explore BI Tools
930,Cloud Engineer,Strengthen Cybersecurity
931,Cybersecurity Analyst,Improve Python
932,Data Scientist,Improve Python
936,Software Engineer,Master SQL
943,Machine Learning Engineer,Master SQL
948,Cloud Engineer,Strengthen Cybersecurity
955,Software Engineer,Strengthen Cybersecurity
956,Data Analyst,Advance in DevOps
964,Database Administrator,Deepen AI knowledge
972,Business Intelligence Analyst,Learn ML
975,Database Administrator,Strengthen Cybersecurity
979,Business Intelligence Analyst,Master SQL
983,Cloud Engineer,Enhance Data Visualization
987,Machine Learning Engineer,Boost Cloud Skills
994,Cloud Engineer,Advance in DevOps
997,AI Specialist,Optimize Databases
910,DevOps Engineer,Boost Cloud Skills
915,Business Intelligence Analyst,Optimize Databases
927,Data Scientist,Optimize Databases
941,AI Specialist,Strengthen Cybersecurity
942,Data Scientist,Explore BI Tools
954,Business Intelligence Analyst,Deepen AI knowledge
958,Data Analyst,Improve Python
965,Business Intelligence Analyst,Improve Python
967,Software Engineer,Boost Cloud Skills
978,Cybersecurity Analyst,Deepen AI knowledge
